dataset,horizon,context,mse
ETTm1,96,512,2.932562
ETTm1,96,1024,3.142454
ETTm1,96,2048,2.855449
ETTm1,192,512,4.399063
ETTm1,192,1024,4.936093
ETTm1,192,2048,4.216117
ETTm1,336,512,5.52179
ETTm1,336,1024,8.306499
ETTm1,336,2048,7.450382
ETTm2,96,512,18.713949
ETTm2,96,1024,13.712257
ETTm2,96,2048,15.900967
ETTm2,192,512,25.789276
ETTm2,192,1024,20.999613
ETTm2,192,2048,23.624146
ETTm2,336,512,31.842293
ETTm2,336,1024,36.879246
ETTm2,336,2048,34.608082
ETTh1,96,512,7.127255
ETTh1,96,1024,7.314501
ETTh1,96,2048,6.623037
ETTh1,192,512,9.142887
ETTh1,192,1024,7.81365
ETTh1,192,2048,7.819269
ETTh1,336,512,7.87509
ETTh1,336,1024,11.735695
ETTh1,336,2048,10.174225
ETTh2,96,512,29.00956
ETTh2,96,1024,25.884764
ETTh2,96,2048,28.412458
ETTh2,192,512,32.11948
ETTh2,192,1024,26.922441
ETTh2,192,2048,31.906912
ETTh2,336,512,33.170975
ETTh2,336,1024,37.631081
ETTh2,336,2048,37.154709
