dataset,horizon,context,unified_postpass_fast,unified_original,unified_delta,sparsegpt,wanda,magnitude,best_overall,best_overall_mse,best_baseline,best_baseline_mse,unified_gap_to_best_baseline
ETTm1,96,512,3.099167,3.294807,-0.195640,3.060759,3.796852,4.078268,sparsegpt,3.060759,sparsegpt,3.060759,+0.038408
ETTm1,96,1024,3.079392,3.100166,-0.020774,3.141601,3.698565,3.158342,unified,3.079392,sparsegpt,3.141601,-0.062209
ETTm1,96,2048,3.151787,3.116719,+0.035068,3.069273,3.567886,3.852101,sparsegpt,3.069273,sparsegpt,3.069273,+0.082514
ETTm1,192,512,4.554967,4.733893,-0.178926,4.535541,5.285578,5.469644,sparsegpt,4.535541,sparsegpt,4.535541,+0.019426
ETTm1,192,1024,4.938866,4.920014,+0.018852,5.013150,5.284368,4.701210,magnitude,4.701210,magnitude,4.701210,+0.237656
ETTm1,192,2048,4.065611,4.413127,-0.347516,4.453480,4.788225,4.847396,unified,4.065611,sparsegpt,4.453480,-0.387869
ETTm1,336,512,5.277109,5.532570,-0.255461,5.431698,6.351359,6.341772,unified,5.277109,sparsegpt,5.431698,-0.154589
ETTm1,336,1024,6.180144,6.898898,-0.718754,6.962907,6.584810,6.484642,unified,6.180144,magnitude,6.484642,-0.304498
ETTm1,336,2048,6.532574,6.324419,+0.208155,8.232394,6.899142,6.588827,unified,6.532574,magnitude,6.588827,-0.056253
ETTm2,96,512,18.719049,18.802841,-0.083792,20.040396,23.032722,24.750416,unified,18.719049,sparsegpt,20.040396,-1.321347
ETTm2,96,1024,18.351421,16.788820,+1.562601,15.953784,20.340399,18.365211,sparsegpt,15.953784,sparsegpt,15.953784,+2.397637
ETTm2,96,2048,16.282753,18.550835,-2.268082,16.203379,18.417274,21.991520,sparsegpt,16.203379,sparsegpt,16.203379,+0.079374
ETTm2,192,512,27.782627,25.761776,+2.020851,26.179136,31.024063,31.322578,sparsegpt,26.179136,sparsegpt,26.179136,+1.603491
ETTm2,192,1024,24.131182,26.461720,-2.330538,22.868284,27.577538,26.183863,sparsegpt,22.868284,sparsegpt,22.868284,+1.262898
ETTm2,192,2048,21.619568,24.752796,-3.133228,22.455820,24.407701,26.953043,unified,21.619568,sparsegpt,22.455820,-0.836252
ETTm2,336,512,29.153757,31.641592,-2.487835,31.755880,37.621437,37.617725,unified,29.153757,sparsegpt,31.755880,-2.602123
ETTm2,336,1024,29.450678,29.252033,+0.198645,28.145916,30.528105,34.051277,sparsegpt,28.145916,sparsegpt,28.145916,+1.304762
ETTm2,336,2048,32.034706,35.954342,-3.919636,35.416759,31.166788,35.324055,wanda,31.166788,wanda,31.166788,+0.867918
ETTh1,96,512,6.961435,7.322355,-0.360920,7.197792,7.718300,6.856449,magnitude,6.856449,magnitude,6.856449,+0.104986
ETTh1,96,1024,6.649734,6.992516,-0.342782,7.038043,7.759077,7.251088,unified,6.649734,sparsegpt,7.038043,-0.388309
ETTh1,96,2048,6.999827,7.670765,-0.670938,7.492072,9.595644,8.250988,unified,6.999827,sparsegpt,7.492072,-0.492245
ETTh1,192,512,8.120831,9.114719,-0.993888,9.004779,8.899175,7.909661,magnitude,7.909661,magnitude,7.909661,+0.211170
ETTh1,192,1024,7.248169,7.677857,-0.429688,7.329250,8.019192,8.071841,unified,7.248169,sparsegpt,7.329250,-0.081081
ETTh1,192,2048,8.164865,9.888016,-1.723151,8.852009,11.528352,10.997838,unified,8.164865,sparsegpt,8.852009,-0.687144
ETTh1,336,512,8.476212,8.660275,-0.184063,8.636360,9.279454,8.597344,unified,8.476212,magnitude,8.597344,-0.121132
ETTh1,336,1024,9.785707,10.248647,-0.462940,10.717838,10.816186,11.181873,unified,9.785707,sparsegpt,10.717838,-0.932131
ETTh1,336,2048,9.982463,11.496385,-1.513922,10.749002,13.888422,14.710131,unified,9.982463,sparsegpt,10.749002,-0.766539
ETTh2,96,512,27.616375,29.334152,-1.717777,30.982330,33.440987,31.389471,unified,27.616375,sparsegpt,30.982330,-3.365955
ETTh2,96,1024,26.666346,28.312822,-1.646476,26.650639,30.888115,31.377167,sparsegpt,26.650639,sparsegpt,26.650639,+0.015707
ETTh2,96,2048,28.654264,41.909607,-13.255343,31.708826,44.006836,39.489937,unified,28.654264,sparsegpt,31.708826,-3.054562
ETTh2,192,512,30.273373,31.921368,-1.647995,33.615997,36.245079,33.563763,unified,30.273373,magnitude,33.563763,-3.290390
ETTh2,192,1024,27.400591,29.525583,-2.124992,29.990583,35.780125,34.748272,unified,27.400591,sparsegpt,29.990583,-2.589992
ETTh2,192,2048,33.875797,53.053478,-19.177681,34.868500,53.687378,49.609219,unified,33.875797,sparsegpt,34.868500,-0.992703
ETTh2,336,512,30.474174,33.395580,-2.921406,33.420742,36.151951,39.868313,unified,30.474174,sparsegpt,33.420742,-2.946568
ETTh2,336,1024,33.331478,36.214352,-2.882874,38.213932,46.747940,45.414673,unified,33.331478,sparsegpt,38.213932,-4.882454
ETTh2,336,2048,39.531845,68.053520,-28.521675,41.274647,65.731369,66.224953,unified,39.531845,sparsegpt,41.274647,-1.742802
