dataset,method,horizon,context,mse
ETTm1,unified,96,512,3.263475
ETTm1,sparsegpt,96,512,3.013844
ETTm1,magnitude,96,512,3.308543
ETTm1,wanda,96,512,3.152491
ETTm1,unified,96,1024,3.040085
ETTm1,sparsegpt,96,1024,3.135009
ETTm1,magnitude,96,1024,2.964088
ETTm1,wanda,96,1024,3.163566
ETTm1,unified,96,2048,3.115243
ETTm1,sparsegpt,96,2048,3.188305
ETTm1,magnitude,96,2048,3.108718
ETTm1,wanda,96,2048,3.286174
ETTm1,unified,192,512,4.598217
ETTm1,sparsegpt,192,512,4.535591
ETTm1,magnitude,192,512,4.492823
ETTm1,wanda,192,512,4.667091
ETTm1,unified,192,1024,4.984859
ETTm1,sparsegpt,192,1024,4.987599
ETTm1,magnitude,192,1024,4.619469
ETTm1,wanda,192,1024,5.022164
ETTm1,unified,192,2048,4.832363
ETTm1,sparsegpt,192,2048,4.688
ETTm1,magnitude,192,2048,4.401274
ETTm1,wanda,192,2048,4.683336
ETTm1,unified,336,512,5.526497
ETTm1,sparsegpt,336,512,5.168993
ETTm1,magnitude,336,512,5.652676
ETTm1,wanda,336,512,5.490362
ETTm1,unified,336,1024,6.912467
ETTm1,sparsegpt,336,1024,7.315925
ETTm1,magnitude,336,1024,7.613866
ETTm1,wanda,336,1024,6.863451
ETTm1,unified,336,2048,8.116452
ETTm1,sparsegpt,336,2048,7.954862
ETTm1,magnitude,336,2048,7.213685
ETTm1,wanda,336,2048,7.806739
ETTm2,unified,96,512,18.671072
ETTm2,sparsegpt,96,512,19.849466
ETTm2,magnitude,96,512,19.634609
ETTm2,wanda,96,512,21.63995
ETTm2,unified,96,1024,16.476412
ETTm2,sparsegpt,96,1024,15.743409
ETTm2,magnitude,96,1024,14.028867
ETTm2,wanda,96,1024,15.943815
ETTm2,unified,96,2048,16.381172
ETTm2,sparsegpt,96,2048,16.3741
ETTm2,magnitude,96,2048,16.886295
ETTm2,wanda,96,2048,17.056292
ETTm2,unified,192,512,26.087793
ETTm2,sparsegpt,192,512,25.184326
ETTm2,magnitude,192,512,25.825375
ETTm2,wanda,192,512,26.176767
ETTm2,unified,192,1024,26.326269
ETTm2,sparsegpt,192,1024,23.086651
ETTm2,magnitude,192,1024,22.374849
ETTm2,wanda,192,1024,23.313896
ETTm2,unified,192,2048,22.260021
ETTm2,sparsegpt,192,2048,22.462311
ETTm2,magnitude,192,2048,22.809032
ETTm2,wanda,192,2048,24.492826
ETTm2,unified,336,512,31.714495
ETTm2,sparsegpt,336,512,31.869492
ETTm2,magnitude,336,512,32.687603
ETTm2,wanda,336,512,33.587521
ETTm2,unified,336,1024,28.997871
ETTm2,sparsegpt,336,1024,27.491024
ETTm2,magnitude,336,1024,33.611031
ETTm2,wanda,336,1024,33.537922
ETTm2,unified,336,2048,35.880405
ETTm2,sparsegpt,336,2048,36.645638
ETTm2,magnitude,336,2048,35.307434
ETTm2,wanda,336,2048,39.23941
ETTh1,unified,96,512,7.323864
ETTh1,sparsegpt,96,512,7.16898
ETTh1,magnitude,96,512,6.918785
ETTh1,wanda,96,512,8.107556
ETTh1,unified,96,1024,6.970775
ETTh1,sparsegpt,96,1024,7.157322
ETTh1,magnitude,96,1024,6.843597
ETTh1,wanda,96,1024,7.928428
ETTh1,unified,96,2048,7.699819
ETTh1,sparsegpt,96,2048,7.320992
ETTh1,magnitude,96,2048,7.302705
ETTh1,wanda,96,2048,7.820809
ETTh1,unified,192,512,9.509985
ETTh1,sparsegpt,192,512,9.35961
ETTh1,magnitude,192,512,8.125301
ETTh1,wanda,192,512,10.001109
ETTh1,unified,192,1024,7.472895
ETTh1,sparsegpt,192,1024,7.354369
ETTh1,magnitude,192,1024,7.406031
ETTh1,wanda,192,1024,8.317515
ETTh1,unified,192,2048,9.294304
ETTh1,sparsegpt,192,2048,8.18946
ETTh1,magnitude,192,2048,9.269061
ETTh1,wanda,192,2048,8.031062
ETTh1,unified,336,512,8.668437
ETTh1,sparsegpt,336,512,8.293062
ETTh1,magnitude,336,512,8.352243
ETTh1,wanda,336,512,8.99421
ETTh1,unified,336,1024,9.929509
ETTh1,sparsegpt,336,1024,10.849111
ETTh1,magnitude,336,1024,11.365129
ETTh1,wanda,336,1024,10.745834
ETTh1,unified,336,2048,10.742018
ETTh1,sparsegpt,336,2048,10.398805
ETTh1,magnitude,336,2048,11.850739
ETTh1,wanda,336,2048,11.356418
ETTh2,unified,96,512,29.450161
ETTh2,sparsegpt,96,512,30.802408
ETTh2,magnitude,96,512,32.088806
ETTh2,wanda,96,512,30.951632
ETTh2,unified,96,1024,28.572542
ETTh2,sparsegpt,96,1024,26.746321
ETTh2,magnitude,96,1024,29.919806
ETTh2,wanda,96,1024,27.397692
ETTh2,unified,96,2048,31.602848
ETTh2,sparsegpt,96,2048,31.617931
ETTh2,magnitude,96,2048,32.394157
ETTh2,wanda,96,2048,31.286415
ETTh2,unified,192,512,32.150444
ETTh2,sparsegpt,192,512,33.207195
ETTh2,magnitude,192,512,34.582783
ETTh2,wanda,192,512,33.598804
ETTh2,unified,192,1024,30.152693
ETTh2,sparsegpt,192,1024,29.903284
ETTh2,magnitude,192,1024,30.879786
ETTh2,wanda,192,1024,30.06156
ETTh2,unified,192,2048,37.101181
ETTh2,sparsegpt,192,2048,34.893871
ETTh2,magnitude,192,2048,37.383667
ETTh2,wanda,192,2048,36.851807
ETTh2,unified,336,512,33.488113
ETTh2,sparsegpt,336,512,33.69125
ETTh2,magnitude,336,512,35.279095
ETTh2,wanda,336,512,34.041607
ETTh2,unified,336,1024,36.073757
ETTh2,sparsegpt,336,1024,38.310024
ETTh2,magnitude,336,1024,41.930389
ETTh2,wanda,336,1024,39.303871
ETTh2,unified,336,2048,41.777466
ETTh2,sparsegpt,336,2048,41.706284
ETTh2,magnitude,336,2048,45.58535
ETTh2,wanda,336,2048,45.024578
