dataset,method,horizon,context,mse
ETTm1,unified,96,512,3.099167
ETTm1,unified,96,1024,3.079392
ETTm1,unified,96,2048,3.151787
ETTm1,unified,192,512,4.554967
ETTm1,unified,192,1024,4.938866
ETTm1,unified,192,2048,4.065611
ETTm1,unified,336,512,5.277109
ETTm1,unified,336,1024,6.180144
ETTm1,unified,336,2048,6.532574
ETTm2,unified,96,512,18.719049
ETTm2,unified,96,1024,18.351421
ETTm2,unified,96,2048,16.282753
ETTm2,unified,192,512,27.782627
ETTm2,unified,192,1024,24.131182
ETTm2,unified,192,2048,21.619568
ETTm2,unified,336,512,29.153757
ETTm2,unified,336,1024,29.450678
ETTm2,unified,336,2048,32.034706
ETTh1,unified,96,512,6.961435
ETTh1,unified,96,1024,6.649734
ETTh1,unified,96,2048,6.999827
ETTh1,unified,192,512,8.120831
ETTh1,unified,192,1024,7.248169
ETTh1,unified,192,2048,8.164865
ETTh1,unified,336,512,8.476212
ETTh1,unified,336,1024,9.785707
ETTh1,unified,336,2048,9.982463
ETTh2,unified,96,512,27.616375
ETTh2,unified,96,1024,26.666346
ETTh2,unified,96,2048,28.654264
ETTh2,unified,192,512,30.273373
ETTh2,unified,192,1024,27.400591
ETTh2,unified,192,2048,33.875797
ETTh2,unified,336,512,30.474174
ETTh2,unified,336,1024,33.331478
ETTh2,unified,336,2048,39.531845
